Padró municipal d'habitants. Xifres oficials. Per sexe
Municipis. 2016
Font: Idescat. Padró municipal d'habitants.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=pmh&n=446&by=mun
Codi;Literal;Homes;Dones;Total
250019;Abella de la Conca;100;81;181;
080018;Abrera;6215;6001;12216;
250024;Àger;322;280;602;
250030;Agramunt;2714;2676;5390;
080023;Aguilar de Segarra;133;120;253;
170010;Agullana;419;422;841;
080142;Aiguafreda;1172;1295;2467;
430017;Aiguamúrcia;476;427;903;
170025;Aiguaviva;391;372;763;
250387;Aitona;1300;1223;2523;
250045;Alamús, els;419;380;799;
250058;Alàs i Cerc;176;174;350;
250061;Albagés, l';212;191;403;
170031;Albanyà;82;65;147;
250077;Albatàrrec;1193;1098;2291;
250083;Albesa;861;735;1596;
250096;Albi, l';418;385;803;
430022;Albinyana;1167;1136;2303;
430038;Albiol, l';235;224;459;
170046;Albons;387;378;765;
430043;Alcanar;4785;4709;9494;
250100;Alcanó;123;126;249;
250117;Alcarràs;4814;4483;9297;
250122;Alcoletge;1745;1630;3375;
430056;Alcover;2538;2557;5095;
439044;Aldea, l';2236;2014;4250;
430069;Aldover;436;427;863;
430075;Aleixar, l';456;431;887;
080039;Alella;4690;4942;9632;
430081;Alfara de Carles;199;172;371;
250138;Alfarràs;1544;1379;2923;
250143;Alfés;169;157;326;
430094;Alforja;936;908;1844;
250156;Algerri;229;194;423;
250169;Alguaire;1576;1430;3006;
250175;Alins;152;135;287;
430108;Alió;193;212;405;
250194;Almacelles;3569;3231;6800;
250208;Almatret;181;146;327;
250215;Almenar;1870;1632;3502;
430115;Almoster;701;700;1401;
250220;Alòs de Balaguer;69;56;125;
170062;Alp;800;736;1536;
080044;Alpens;153;141;294;
250236;Alpicat;3108;3125;6233;
250241;Alt Àneu;226;176;402;
430120;Altafulla;2472;2562;5034;
170078;Amer;1107;1153;2260;
430136;Ametlla de Mar, l';3593;3509;7102;
080057;Ametlla del Vallès, l';4199;4138;8337;
439060;Ampolla, l';1680;1642;3322;
430141;Amposta;10389;10265;20654;
170084;Anglès;2709;2764;5473;
250273;Anglesola;668;667;1335;
250292;Arbeca;1137;1103;2240;
430167;Arboç, l';2842;2678;5520;
430154;Arbolí;72;53;125;
170097;Arbúcies;3298;3082;6380;
080060;Arenys de Mar;7463;7790;15253;
080076;Arenys de Munt;4353;4285;8638;
170101;Argelaguer;218;197;415;
080082;Argençola;120;107;227;
430173;Argentera, l';77;59;136;
080095;Argentona;5916;6135;12051;
170118;Armentera, l';471;464;935;
430189;Arnes;238;234;472;
250313;Arres;41;23;64;
250328;Arsèguel;50;33;83;
080109;Artés;2823;2773;5596;
250334;Artesa de Lleida;786;726;1512;
250349;Artesa de Segre;1808;1748;3556;
430192;Ascó;881;814;1695;
250365;Aspa;108;109;217;
250371;Avellanes i Santa Linya, les;267;198;465;
080116;Avià;1113;1144;2257;
080121;Avinyó;1102;1110;2212;
170123;Avinyonet de Puigventós;803;784;1587;
080137;Avinyonet del Penedès;885;780;1665;
080155;Badalona;106301;109333;215634;
089045;Badia del Vallès;6588;6894;13482;
080168;Bagà;1076;1086;2162;
250390;Baix Pallars;181;161;342;
250404;Balaguer;8363;8167;16530;
080174;Balenyà;1861;1844;3705;
080180;Balsareny;1629;1656;3285;
430206;Banyeres del Penedès;1563;1528;3091;
170157;Banyoles;9608;9631;19239;
250411;Barbens;500;443;943;
430213;Barberà de la Conca;255;223;478;
082520;Barberà del Vallès;16229;16603;32832;
080193;Barcelona;761487;847259;1608746;
250426;Baronia de Rialb, la;129;111;240;
170160;Bàscara;514;466;980;
250447;Bassella;112;123;235;
430228;Batea;982;985;1967;
250450;Bausen;33;31;64;
080207;Begues;3324;3412;6736;
170139;Begur;2000;1957;3957;
250463;Belianes;269;270;539;
251706;Bellaguarda;159;148;307;
170182;Bellcaire d'Empordà;317;330;647;
250479;Bellcaire d'Urgell;639;624;1263;
250485;Bell-lloc d'Urgell;1162;1187;2349;
250498;Bellmunt d'Urgell;90;98;188;
430234;Bellmunt del Priorat;145;151;296;
080214;Bellprat;46;29;75;
250501;Bellpuig;2600;2405;5005;
430249;Bellvei;1136;1054;2190;
250518;Bellver de Cerdanya;1034;961;1995;
250523;Bellvís;1150;1114;2264;
250539;Benavent de Segrià;772;710;1482;
430252;Benifallet;348;360;708;
430265;Benissanet;653;565;1218;
080229;Berga;7950;8225;16175;
170195;Besalú;1146;1292;2438;
170209;Bescanó;2432;2422;4854;
170216;Beuda;112;87;199;
080235;Bigues i Riells;4546;4369;8915;
250557;Biosca;99;88;187;
170221;Bisbal d'Empordà, la;5346;5396;10742;
430271;Bisbal de Falset, la;115;93;208;
430287;Bisbal del Penedès, la;1831;1635;3466;
172348;Biure;122;111;233;
430290;Blancafort;205;188;393;
170237;Blanes;19491;19569;39060;
170293;Boadella i les Escaules;138;128;266;
170242;Bolvir;198;177;375;
430304;Bonastre;327;312;639;
250576;Bòrdes, Es;138;112;250;
170255;Bordils;836;844;1680;
250582;Borges Blanques, les;3062;2938;6000;
430311;Borges del Camp, les;1042;1028;2070;
170268;Borrassà;369;342;711;
080240;Borredà;274;221;495;
250595;Bossòst;555;568;1123;
430326;Bot;312;303;615;
430332;Botarell;587;533;1120;
250560;Bovera;147;120;267;
430347;Bràfim;337;331;668;
170274;Breda;1849;1873;3722;
080253;Bruc, el;1081;933;2014;
080266;Brull, el;142;121;263;
170280;Brunyola;196;179;375;
430350;Cabacés;166;160;326;
250609;Cabanabona;36;41;77;
170314;Cabanelles;146;111;257;
170307;Cabanes;494;421;915;
080272;Cabanyes, les;483;460;943;
250616;Cabó;48;44;92;
430363;Cabra del Camp;581;532;1113;
080288;Cabrera d'Anoia;712;639;1351;
080291;Cabrera de Mar;2299;2254;4553;
080305;Cabrils;3603;3684;7287;
170329;Cadaqués;1379;1458;2837;
080312;Calaf;1752;1672;3424;
430379;Calafell;12192;12097;24289;
080348;Calders;494;459;953;
080327;Caldes d'Estrac;1341;1425;2766;
170335;Caldes de Malavella;3611;3609;7220;
080333;Caldes de Montbui;8523;8614;17137;
080351;Calella;8979;9338;18317;
080370;Calldetenes;1233;1185;2418;
080386;Callús;1008;1049;2057;
170340;Calonge;5368;5341;10709;
080364;Calonge de Segarra;96;95;191;
250621;Camarasa;448;431;879;
439039;Camarles;1707;1642;3349;
430385;Cambrils;16317;16956;33273;
170353;Camós;340;343;683;
